share_name                     ,number,first_date,last_date
DATA MODUL AG O.N.             ,549890.ETR,13.11.2020,23.04.2021
DATA MODUL AG O.N.             ,549890.FFM,13.11.2020,23.04.2021
DATADOG INC.  A DL-*00001      ,A2PSFR.ETR,26.01.2021,23.04.2021
DATADOG INC.  A DL-*00001      ,A2PSFR.FFM,27.01.2021,23.04.2021
DATAGROUP SE  INH. O.N.        ,A0JC8S.FFM,13.11.2020,23.04.2021
DATAGROUP SE  INH. O.N.        ,A0JC8S.ETR,13.11.2020,23.04.2021
DATRON AG INH.O.N.             ,A0V9LA.FFM,13.11.2020,23.04.2021
DATRON AG INH.O.N.             ,A0V9LA.ETR,13.11.2020,23.04.2021
DBAG DEMO INAV 12              ,A0V8JJ.ETR,18.12.2020,23.02.2021
DBAG DEMO INAV 30              ,A0V8J2.ETR,14.08.2019,14.08.2019
DBAG DEMO INAV 50              ,A0V8KN.ETR,13.11.2020,23.04.2021
DE RAJ GROUP AG INH O.N.       ,A2GSWR.FFM,13.11.2020,22.01.2021
DE RAJ GROUP AG INH O.N.       ,A2GSWR.ETR,30.09.2020,26.10.2020
DEAG DT.ENTERTAINM. O.N.       ,A0Z23G.ETR,13.11.2020,08.04.2021
DEAG DT.ENTERTAINM. O.N.       ,A0Z23G.FFM,13.11.2020,23.04.2021
DEAG DT.ENTERTN. JUNGE         ,A2TSMP.FFM,09.08.2019,09.08.2019
DECKERS OUTDOOR    DL-*01      ,894298.ETR,15.01.2021,23.04.2021
DECKERS OUTDOOR    DL-*01      ,894298.FFM,15.01.2021,23.04.2021
DEERE CO.            DL 1      ,850866.FFM,13.11.2020,23.04.2021
DEERE CO.            DL 1      ,850866.ETR,13.11.2020,23.04.2021
DEFAMA AG                      ,A13SUL.FFM,13.11.2020,23.04.2021
DEFAMA AG                      ,A13SUL.ETR,13.11.2020,23.04.2021
DEKA MDAX                      ,ETFL44.FFM,22.11.2019,22.11.2019
DEKA MSCI EMU CLI.CH.ESG       ,ETFL55.FFM,30.09.2020,30.10.2020
DEKA MSCI EUROP.C.CH.ESG       ,ETFL56.FFM,30.09.2020,30.10.2020
DEKA MSCI GERM.CL.CH.ESG       ,ETFL54.FFM,30.09.2020,30.10.2020
DEKA MSCI USA CLI.CH.ESG       ,ETFL57.FFM,30.09.2020,30.10.2020
DEKA MSCI WORLD C.CH.ESG       ,ETFL58.FFM,21.08.2020,21.08.2020
DELIGNIT AG      INH.O.N.      ,A0MZ4B.FFM,13.11.2020,23.04.2021
DELIGNIT AG      INH.O.N.      ,A0MZ4B.ETR,13.11.2020,23.04.2021
DELIVERY HERO SE NA NEUE       ,A3H3LN.ETR,16.02.2021,23.04.2021
DELIVERY HERO SE NA NEUE       ,A3H3LN.FFM,16.02.2021,23.04.2021
DELIVERY HERO SE NA NEUE       ,A254W1.FFM,19.06.2020,19.06.2020
DELIVERY HERO SE NA O.N.       ,A2E4K4.FFM,13.11.2020,23.04.2021
DELIVERY HERO SE NA O.N.       ,A2E4K4.ETR,13.11.2020,23.04.2021
DELL TECHS INC. C  DL-*01      ,A2N6WP.ETR,13.11.2020,23.04.2021
DELL TECHS INC. C  DL-*01      ,A2N6WP.FFM,13.11.2020,23.04.2021
DELTA AIR LINES INC.           ,A0MQV8.ETR,15.01.2021,23.04.2021
DELTA AIR LINES INC.           ,A0MQV8.FFM,15.01.2021,23.04.2021
DELTICOM AG  NA O.N.           ,514680.FFM,13.11.2020,23.04.2021
DELTICOM AG  NA O.N.           ,514680.ETR,13.11.2020,23.04.2021
DEMIRE DT.MTS.RE AG            ,A0XFSF.FFM,13.11.2020,23.04.2021
DEMIRE DT.MTS.RE AG            ,A0XFSF.ETR,13.11.2020,23.04.2021
DENTSPLY SIRONA    DL-*01      ,A2AF0E.ETR,13.11.2020,23.04.2021
DENTSPLY SIRONA    DL-*01      ,A2AF0E.FFM,13.11.2020,23.04.2021
DERMAPHARM HLDG INH O.N.       ,A2GS5D.FFM,13.11.2020,23.04.2021
DERMAPHARM HLDG INH O.N.       ,A2GS5D.ETR,13.11.2020,23.04.2021
DEUTSCHE BANK AG NA O.N.       ,514000.FFM,13.11.2020,23.04.2021
DEUTSCHE BANK AG NA O.N.       ,514000.ETR,13.11.2020,23.04.2021
